"Abbreviation","title","publisher","society","price","pages","charpp","citations","foundingyear","subs","field"
"DvE","Developing Economies","Inst of Devel Econ","no",80,539,3345,76,1963,87,"Development"
"JWE","Japan and the World Economy","Elsevier","no",355,577,3443,56,1988,27,"Area Studies"
"EJ","Economic Journal","Blackwell","no",301,1983,3036,2540,1890,531,"General"
"EiEH","Explorations in Economic History","Academic Press","no",265,447,2904,261,1963,199,"Economic History"
"JoBF","Journal of Banking and Finance","Elsevier","no",1539,1911,2516,602,1977,172,"Finance"
"JoES","Journal of Economic Surveys","Blackwell","no",355,674,2835,61,1987,45,"General"
"JoPolEc","Journal of Political Economy","Univ of Chicago Press","no",159,1669,2640,6697,1892,737,"General"
"JEP","Journal of Economic Perspectives","Am Ec Assn","yes",47,940,3036,1583,1935,866,"General"
"ERoAE","European Review of Agricultural Economics","Oxford Univ Press","no",255,573,3228,144,1974,21,"Agricultural Economics"
"RP","Research Policy","Elsevier","no",1234,781,4320,922,1972,34,"Business"
"RoRPE","Review of Radical Political Economics","Elsevier","no",242,665,2688,27,1968,202,"Specialized"
"Ecnmc","Economica","Blackwell","no",122,565,3120,825,1933,313,"General"
"DC","Development and Change","Blackwell","no",318,888,2623,154,1970,83,"Development"
"EP","Economic Policy","Blackwell","no",170,440,2856,179,1985,56,"Public Finance"
"JoCMS","Journal of Common Market Studies","Blackwell","no",506,710,2747,299,1962,214,"Area Studies"
"RoIO","Review of Industrial Organization","Kluwer","no",448,792,1820,126,1990,58,"Industrial Organization"
"SJoPE","Scottish Journal of Political Economy","Blackwell","no",203,596,3036,151,1953,89,"General"
"JoRaU","Journal of Risk and Uncertainty","Kluwer","no",481,595,3476,383,1990,47,"Insurance"
"RoFS","Review of Financial Studies","Oxford Univ. Press","no",175,1235,2604,547,1988,95,"Finance"
"ES","Economy and Society","Routledge","no",224,640,2970,488,1971,97,"General"
"EE","Ecological Economics","Elsevier","no",1170,1990,4128,499,1989,40,"Natural Resources"
"JoEI","Journal of Economic Issues","Assn Ev. Economics","yes",45,1003,2870,355,1967,462,"Public Finance"
"EoP","Economics of Planning","Kluwer","no",226,243,3010,28,1987,46,"Area Studies"
"JoFo","Journal of Forecasting","Wiley","no",760,516,4032,317,1982,137,"Specialized"
"JoRS","Journal of Regional Science","Blackwell","no",142,764,2992,397,1961,242,"Urban and Regional"
"EDE","Environment and Development Economics","Cambridge Univ Pres","no",90,602,3185,24,1895,14,"Development"
"JASA","Journal of the American Statistical Association","Am. Statistical Assn","yes",310,1260,5664,2800,1971,487,"Econometrics"
"JoLR","Journal of Labor Research","George Mason Univ","no",130,725,3010,227,1980,221,"Labor"
