"Name","County","HousePrice","CrimeRate","MilesPhila","PopChg"
"E. Whiteland","Chester",170556,27.2,30,4.6
"Pottstown","Montgome",78175,53.2,41,2.2
"L. Gwynedd","Montgome",272790,14.5,20,-5.1
"Newtown B.","Bucks",197214,15.2,25,2.1
"Ridley Town","Delaware",100231,24.1,15,1.9
"Royersford","Montgome",95831,21.2,32,3.2
"U. Moreland","Montgome",133198,19.4,22,-2
"Phila, SW","Phila",38000,54.8,4.5,-5.1
"Narberth","Montgome",157446,14.6,15,3.1
"Phila, South","Phila",38000,53.5,2,-9.2
"Villanova","Montgome",436348,22.1,15,1.3
"Upper Darby","Delaware",93648,34.5,8,-0.7
"Newtown","Bucks",153842,15.3,23,8.5
"L Southampton","Delaware",130436,31.2,17,-0.4
"Limerick","Montgome",121024,39.5,35,26.9
"Lansdown","Delaware",93738,19.3,7,-0.4
"Easttown","Chester",280969,17.7,14,2.9
"L. Merion","Montgome",299621,28.6,10,1.4
"Prospect Park","Delaware",92215,17.4,14,7.8
"Solebury","Bucks",259506,7.2,40,17.4
"Warminster","Bucks",130088,28.6,19,-0.2
"Uwchlan T.","Chester",163001,22.1,50,8
"U. Chichester","Delaware",116710,42.8,20,12.9
"Middletown","Bucks",143072,40.1,23,1.6
"Follcroft","Delaware",74502,21.4,15,-3.2
"Media","Delaware",126160,38,20,-2.4
"N. Wales","Montgome",118214,25.1,25,5.7
"Ambler","Montgome",113033,24.1,18,4
"Downingtown","Chester",104923,48.1,21,6.9
"Darby Bor.","Delaware",40642,45.7,15,0
"Bensalem","Bucks",110490,49.4,25,2.7
"U. Providence","Delaware",242821,6.6,21,1.6
"Bryn Mawr","Montgome",297342,20.2,14,0.6
"Brookhaven","Delaware",89246,30.8,15,-2.6
"Hatboro","Montgome",114572,17.5,20,5.2
"Norwood","Delaware",99843,12.5,12,-3.7
"Phila, West","Phila",42000,69.9,4,-5.7
"Collegeville","Montgome",170822,33.7,32,2.4
"Whitemarsh","Montgome",196515,29.9,16,1.8
"Marple","Delaware",185404,24.1,10,0.9
"W. Whiteland","Chester",114157,44.6,38,14.6
"Haverford","Delaware",436348,16.5,10,-0.7
"Yardley","Bucks",130953,13,24,5.2
"Warrington","Bucks",152624,24,19,23.1
"U. Merion","Montgome",189959,61.7,22,-2.1
"Lansdale","Montgome",112471,29.3,35,3.4
"E. Bradford","Chester",215512,71.9,26,5.8
"Phila, Far NE","Phila",60000,45.8,18,-1.4
"Jenkintown","Montgome",122392,17.3,10,1.9
"Northampton","Bucks",169401,7.1,22,1.5
"U. Makefield","Bucks",359112,9.4,36,4
"Phila,CC","Phila",96200,366.1,0,4.8
"Ridley Park","Delaware",119566,14.5,12,-2.9
"Upper Darby","Montgome",199065,13.2,20,7.8
"Morton","Delaware",94014,26.6,14,0.5
"U. Southampton","Bucks",142811,15.9,20,-1.6
"Plymouth","Montgome",147720,58.6,25,1.5
"E. Norriton","Montgome",131025,31.3,19,-1.8
"Bryn Athyn","Montgome",195145,10.8,20,-3.5
"Springfield","Montgome",159573,19.4,15,-2.1
"Gladwyne","Montgome",475112,28.6,12,NA
"Buckingham","Bucks",264298,20.4,26,6
"Falls Town","Bucks",114233,29,30,1.3
"Swarthmore","Delaware",205732,11.2,12,-0.2
"Bristol B.","Bucks",79124,54.1,19,3.9
"Newtown T.","Delaware",206127,17.4,15,2.7
"Bristol T.","Bucks",92634,48.6,20,0.6
"Sharon Hill","Delaware",74308,29.9,7,1.8
"Westtown","Chester",174232,13.8,25,4.7
"Schuylkill","Chester",229711,9.8,22,5.3
"Springfield","Delaware",147176,41.1,12,-1.7
"E. Goshen","Chester",178105,45.1,25,2.3
"L. Moreland","Montgome",210884,20.8,20,0.1
"Doylestown","Bucks",190317,19.4,26,1.9
"Radnor","Delaware",271804,15.5,17,1.2
"E. Pikeland","Chester",149844,24.9,22,6.4
"Phila, N","Phila",28000,44.9,5.5,-8.4
"L. Makefield","Bucks",194435,15.7,32,15
"Abington","Montgome",140463,29.7,10,-1
"Chalfont","Bucks",134342,17.3,31,4.2
"Phila, NE","Phila",60000,65,9,-4.9
"Malvern","Chester",156035,13,23,6.3
"Darby Town","Delaware",71359,22.3,8,1.6
"Willistown","Chester",232714,9.9,21,0.2
"Horsham","Montgome",389302,17.8,20,1.5
