Title,Author,ListPrice,AmazonPrice,HardOrPaper,NumPages,Publisher,PubYear,ISBN.10,Height,Width,Thick,Weight
The Sound of the Mountain,Kawabata,14.95,10.17,P,288,Vintage,1996,679762647,8.1,5.3,0.6,9.1
Drowning Ruth: A Novel,Christina Schwarz,15,10.2,P,368,Ballantine Books,2001,345439104,8.2,5.6,0.8,9.6
Their Eyes Were Watching God,Hurston,15.99,8.5,P,256,Harper Perennial Modern Classics,2006,61120065,8.4,5.5,0.7,8.8
Catcher in the Rye,JD Salinger,13.99,8.38,P,288,Back Bay Books,2001,316769177,5.2,8,0.9,5.6
"The Armies of the Night: History as a Novel, the Novel as History",Norman Mailer,16,10.77,P,304,Plume,1995,452272793,8,5.3,0.7,9.6
The Castle of Otranto: A Gothic Story,Horace Walpole,8.95,8.95,P,176,Oxford University Press,2009,199537216,7.6,5.2,0.3,4.2
Style: Lessons in Clarity and Grace,Joseph M. Williams,35.75,21.68,P,288,Longman,2010,205747469,8.4,5.4,0.5,12
Surviving Hitler: A Boy in the Nazi Death Camps,Andrea Warren,6.99,6.99,P,160,HarperCollins,2002,60007672,9,7.2,0.4,8
The Distant Hours,Morton,15,8.6,P,576,Washington Square Press,2011,1439152799,8.3,5.2,1.6,19.2
Lives of Girls and Women: A Novel,Alice Munro,15,10.33,P,288,Vintage,2001,375707492,8,5.2,0.6,16
Big Dog . . . Little Dog,Eastman,4.99,4.99,H,24,Random House Books,2006,375875395,5.8,4.3,0.5,4
The Story of Ferdinand,Munro Leaf,17.99,10.88,H,72,Viking Juvenile,1936,670674249,9.4,7.4,0.5,14.4
As I Lay Dying,William Faulkner,13.07,12.52,P,400,W.W. Norton,2009,393931382,8.3,5.1,0.9,13.6
Trainspotting,Welsh,14.95,10.17,P,368,W.W. Norton,1996,393314804,8.3,5.5,0.8,13.6
Catch-22,Joseph Heller,16,9.07,P,544,Simon and Schuster,2011,1451626657,8.4,5.4,1.3,19.2
The Guns of August,Barbara W. Tuchman,17,11.56,P,544,Ballantine Books,1994,034538623X,8.1,5.5,1.1,16
Thirteen Reasons Why,Jay Asher,10.99,6.9,P,336,Razorbill,2011,159514188X,8.1,5.4,1,12
"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov,18,12.11,P,624,Vintage,1990,679725229,8,5.2,1.2,19.2
"The Curious Researcher, MLA Update Edition (6th Edition)",Bruce Ballenger,48.2,39.72,P,400,Longman,2009,205745261,8.9,5.9,0.6,16
Major Pettigrew's Last Stand: A Novel,Simonson,15,8.84,H,384,Random House Trade Paperbacks,2010,812981227,7.9,5.2,1,10.4
Cane River,Lalita Tademy,13.95,11.16,P,560,Grand Central Publishing,2002,446678457,8,5.2,1.5,16
Message in a Bottle,Sparks,14.99,10.19,P,352,Grand Central Publishing,1999,446676071,8,5.2,1,6.4
Islam:  A Short Guide to the Faith,"Allen, Toorawa",20,13.6,P,200,Wm. B. Eerdmans,2011,080286600X,8.9,6,0.6,11.2
Laughter in the Dark,Vladimir Nabokov,12.95,8.36,P,308,New Directions,2006,811216748,8.1,5.3,0.7,9.6
The Great Gatsby,F. Scott Fitzgerald,25,15.62,H,176,Scribner,1996,684830426,9.6,6.3,0.7,13.6
The Shape of Me and Other Stuff: Dr. Seuss's Surprising Word Book,Seuss,8.99,8.99,H,24,Random House Books,1997,679886311,5.8,4.4,0.6,1.6
Moll Flanders (Norton Critical Editions),Daniel Defoe,13.29,13.29,P,544,W. W. Norton & Company,2004,393978621,8.5,5.2,1,28.8
Hop on Pop,Seuss,8.99,8.99,H,72,Beginner Books,1963,039480029X,9.3,6.7,0.4,14.4
The World's Last Night: And Other Essays,Lewis,13,10.29,P,132,Mariner Books,2002,156027712,7.8,5.3,0.5,3.2
The Intelligent Investor: (Revised Edition),Benjamin Graham,21.99,12.5,P,640,Collins Business,2003,60555661,7.9,5.4,1.6,19.2
Lady in the Lake,Raymond Chandler,14,11.2,P,272,Vintage,1988,394758251,8.1,5.2,0.6,9.9
Runaway,Alice Munro,15.95,10.85,P,352,Vintage,2005,1400077915,7.8,5.5,0.8,10.4
Interpreter of Maladies,Lahiri,14.95,8.6,P,198,Mariner Books,1999,039592720X,8.2,5.7,0.5,17.6
The Diving Bell and the Butterfly,Jean-Dominique Bauby,14,8.04,P,131,Vintage,1998,375701214,7.8,5.1,0.5,4.8
A Painted House,Grisham,15,10.2,P,384,Delta,2004,385337930,8,5.4,0.8,11.2
A Farewell To Arms,Ernest Hemingway,30,19.8,H,304,Scribner,1997,684837889,9.6,6.4,1.1,19.2
The Sound and the Fury: The Corrected Text with Faulkner's Appendix,William Faulker,22,14.96,H,368,Modern Library,1992,67600175,7.9,5,1,11.2
"In The Plex: How Google Thinks, Works, and Shapes Our Lives",Levy,26,14.44,H,432,Simon & Schuster,2011,1416596585,9.4,6.2,1.4,22.4
The Great Gatsby,F. Scott Fitzgerald,15,8.92,P,180,Scribner; Reissue edition,1999,743273567,7.9,5.2,0.5,4
Long Day's Journey into Night: Second Edition,Eugene O'Neill,25.95,25.95,H,192,Yale University Press,2002,300094108,8.2,6.2,0.9,9.6
Cloudy With a Chance of Meatballs,Judi Barrett,6.99,6.99,P,32,Atheneum Books for Young Readers,1982,689707490,8.5,9.3,0.1,1.6
Songs of the Humpback Whale: A Novel,Jodi Picoult,16,10.22,P,352,Pocket Books,1992,743431014,8.3,5.4,1,13.6
How to Paint Tractors & Trucks,Timothy Remus,27.95,19.99,P,144,Wolfgang Publications,2008,1929133472,10.8,8.4,0.5,17.6
Animal Farm,George Orwell,14,8.75,P,128,Plume,2003,452284244,8.1,5.4,0.4,5.6
Unbroken,Laura Hillenbrand,27,13.49,H,496,Random House,2010,1400064163,9.4,6.3,1.7,28
A Tale of Two Cities,Dickens,11.94,11.94,P,428,Simon & Brown,2011,1613820771,9,6,1.2,24
Lord of the Flies,William Golding,25,16.5,H,336,Perigee Trade,2003,399529209,8.4,5.4,1.2,16
My Sister's Keeper,Jodi Picoult,16,10.77,P,448,Washington Square Press,2005,743454537,8.2,5.4,1.2,6.4
Harvesting the Heart,Jodi Picoult,16,10.88,P,464,Penguin (Non-Classics),1993,140230270,8.3,5.2,1.2,11.2
Run For Your Life,James Patterson & Michael Ledwidge,9.99,9.99,P,368,Vision,2010,446556998,8,4.2,1.2,6.4
The Awakening,Kate Chopin,12.14,9,P,336,W.W. Norton,1993,393960579,8.4,5.2,0.9,16
Gregor the Overlander,Collins,6.99,6.99,P,320,Scholastic Paperbacks,2004,439678137,7.5,5.2,0.9,8
If I Stay,Forman,6.95,6.95,P,272,Speak,2010,014241543X,8.3,5.4,0.8,9.6
1493: Uncovering the New World Columbus Created,Charles C. Mann,30.5,16.77,P,720,Knopf,2011,307265722,8,5.2,1.4,22.4
Even Cowgirls Get the Blues,Tom Robbins,15,10.2,P,384,Bantam,1990,055334949X,8.2,5.3,0.8,10.4
Train to Pakistan,Khushwant Singh,14.95,10.17,P,181,Grove Press,1994,802132219,8.2,5.3,0.5,7.2
Seabiscuit,Laura Hillenbrand,16,9.75,P,399,Ballantine books,2002,449005615,8.1,5.5,0.9,15.2
Texts From Last Night: All the Texts No One Remembers Sending,Lauren Leto,15,10.2,P,192,Gotham,2010,1592405436,7.1,4.9,0.5,9.1
"That Was Then, This Is Now",S.E. Hinton,9.99,9.99,P,160,Speak,1998,140389660,7.5,4.3,0.6,4
The Da Vinci Code,Brown,9.99,9.99,H,597,Anchor,2009,307474275,7.5,4.3,1.3,12.8
The Imperfectionists: A Novel (Random House Reader's Circle),Rachman,15,8.36,P,304,Dial Press Trade Paperback,2011,385343671,7.9,5.1,0.8,8.8
The Curious Reader: Exploring Personal and Academic Inquiry (2nd Edition),Bruce Ballenger,70.8,55.75,P,560,Longman,2005,321365224,8.9,5.8,0.9,19.2
We have never been modern,Bruno Latour,26,19.01,P,168,Harvard University Press,1993,674948394,8.9,6,0.5,7
Perfect Match,Jodi Picoult,16,8.61,P,368,Washington Square Press,2003,743418735,8.3,5.3,1.1,12
A Virtuous Woman,Kaye Gibbons,14,11.2,P,176,Vintage,1997,375703063,8,5.2,0.5,9.6
A Visit from the Goon Squad,Egan,14.95,8.96,P,352,Anchor,2011,307477479,7.9,5.2,0.8,12.8
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,26,13,H,464,Crown,2011,307408841,9.5,6,1.5,25.6
"1,001 Facts that Will Scare the S#*t Out of You: The Ultimate Bathroom Reader",Cary McNeal,12.95,5.18,P,304,Adams Media,2010,1605506249,7.8,5.5,0.8,11.2
A Game of Thrones: A song of fire and ice,George R.R. Martin,17,10.46,P,720,Bantam,2011,553386790,9.1,6.2,1.5,27.2
Rebecca,Daphne du Maurier,14.95,5.98,P,416,Avon Books,1997,380730405,7.9,5.1,1.1,11.2
Existential Therapies,Mick Cooper,53.95,39.92,P,192,Sage Publications Ltd,2003,761973214,9.1,6.1,0.5,11.2
Alice in Wonderland,Lewis Carroll,7.95,7.95,H,283,Collector's Library,2009,1904633323,6.3,4.5,0.6,4.2
The Book Thief,Markus Zusak,12.99,7.31,P,576,Alfred A. Knopf,2007,375842209,7.9,5.1,1.3,12.8
The Emporer's Handbook: A New Translation of the Meditations,Marcus Aurelius,22,14.96,H,160,Scribner,2002,743233832,8.7,5.9,0.6,3.2
To the End of the Land (Vintage International),Grossman,15.95,10.68,P,672,Vintage,2011,307476405,7.9,5.2,1.4,19.2
I am Grateful: Recipes and Lifestyles of CafÂŽ Gratitute,Engelhart,24.95,16.47,P,200,North Atlantic Books,2007,1556436475,9,7,1,14
Frankenstein,Mary Shelley,8,8,P,208,Simon & Brown,2011,1613820631,8.9,5.9,0.6,11.2
The Crying of Lot 49,Thomas Pynchon,12.99,9.66,P,192,Harper Perennial,2006,006091307X,7.5,5.7,0.4,4.8
A Christmas Carol and Other Christmas Writings (Penguin Classics),Dickens,20,13.46,H,336,Penguin Classics Hardcover,2010,141195851,7.8,5.3,1.2,15.5
The Practice of Management,Drucker,16.99,11.28,P,416,Harper Paperbacks,2006,60878975,7.9,5.2,1,12
Go the F**k Asleep,Adam Mansbach,14.95,8.97,H,32,Akashic Books,2011,1617750255,8.3,6.3,0.3,8
The Field Guide to John Deere Tractors,Don Macmillan,8.42,8.42,H,160,Voyageur Press,2003,089658514X,9.1,6,0.7,16
"Art of Living: The Classical Mannual on Virtue, Happiness and Effectiveness (Plus)",Epictetus,11.99,9.59,P,144,HarperOne,2007,61286052,8,4.9,0.4,5.6
A Fine Balance,Rohinton Mistry,17,8.97,P,624,Vintage,2001,140003065X,7.7,5.1,1.7,16.2
Norwegian Wood,Murakami,15,7.9,P,298,Vintage,2000,375704027,8,5.2,0.8,7.8
The Forgotten Garden,Kate Morton,15,8.52,P,560,Washington Square Press,2010,1416550550,8.5,5,1.5,16
Catching Fire,Collins,17.99,8.97,H,391,Scholastic Press,2009,439023491,8.3,5.7,1.5,22.4
Life of Pi,Yann Martel,15,8.68,P,326,Mariner Books,2003,156027321,7.9,5.3,1,12
The Sound and the Fury,William Faulkner,15.44,8.45,P,464,W.W. Norton,1993,393964817,8.5,5.1,0.8,15.2
A Holocaust Reader: Responses to the Nazi Extermination,Michael L. Morgan (editor),39.95,37.95,P,384,"Oxford University Press, USA",2000,195059581,9.2,6.6,0.8,22.4
1861:  The Civil War Awakening,Adam Goodheart,28.95,16.44,H,460,Knopf,2011,1400040159,8.9,6.3,1.7,32
Game of Thrones,Martin,17,10.46,P,720,Bantam,2011,553386794,9.1,6.2,1.5,27.2
Sh*t My Dad Says,Justin Halpern,15.99,9.58,H,176,It Books,2010,61992704,6.9,5.4,0.7,8.8
The Bonfire of the Vanities,Tom Wolfe,22,22,P,704,Farrar Straus Giroux,1988,B0041928UG,8.3,6.1,1.2,24
The Moviegoer,Walker Percy,14.95,10.17,P,241,1st International ed edition,1998,375701966,8,5.2,0.5,5.6
