School,Public,Location,Earn,SAT,Price,need_fraction
California Institute of Technology,0,"Pasadena, CA",76000,1550,63500,0.5
College of William and Mary,1,"Williamsburg, VA",47400,1370,32400,0.28
Mount Holyoke College,0,"South Hadley, MA",44300,1360,59400,0.67
Fresno Pacific University,0,"Fresno, CA",42100,990,39600,0.7
Fitchburg State University,1,"Fitchburg, MA",40700,990,21900,0.49
SUNY at Fredonia,1,"Fredonia, NY",38900,1050,23400,0.52
Trinity University,0,"San Antonio, TX",43300,1260,52600,0.44
Saint Peter's University,0,"Jersey City, NJ",45800,NA,51300,0.85
Middlebury College,0,"Middlebury, VT",49300,NA,63600,0.42
University of Wisconsin-Stevens Point,1,"Stevens Point, WI",40800,1190,17700,0.42
Xavier University,0,"Cincinnati, OH",45800,1110,49400,0.57
Rowan University,1,"Glassboro, NJ",45800,NA,28500,0.34
Aurora University,0,"Aurora, IL",41200,1020,35300,0.66
University of Wisconsin-Platteville,1,"Platteville, WI",55100,NA,19000,0.31
University of Wisconsin-Whitewater,1,"Whitewater, WI",43000,1060,18000,0.37
Lawrence University,NA,"Appleton, WI",42500,1330,56000,0.66
University of Southern California,0,"Los Angeles, CA",54600,NA,67300,0.37
Seattle University,0,"Seattle, WA",51200,NA,56900,0.53
Holy Names University,0,"Oakland, CA",48900,910,53200,0.37
Westmont College,0,"Santa Barbara, CA",45100,1190,57800,0.66
Simpson University,0,"Redding, CA",36000,NA,38200,0.88
Citadel Military College of South Carolina,1,"Charleston, SC",54100,1090,27400,0.45
Appalachian State University,1,"Boone, NC",40600,NA,20200,0.36
Duke University,NA,"Durham, NC",61600,NA,66600,0.41
Skidmore College,0,"Saratoga Springs, NY",45500,1240,65300,0.44
Duquesne University,0,"Pittsburgh, PA",45400,1120,48100,0.69
Notre Dame de Namur University,0,"Belmont, CA",46000,990,52300,0.9
University of California-Davis,NA,"Davis, CA",51000,1200,35100,0.63
Union College-Schenectady,0,"Schenectady, NY",51200,NA,64700,0.5
Roberts Wesleyan College,0,"Rochester, NY",42400,1050,43600,0.83
Gonzaga University,0,"Spokane, WA",51000,1190,52500,0.57
University of the Pacific,0,"Stockton, CA",50700,1180,61200,0.69
Mount Saint Mary's University,NA,"Los Angeles, CA",45900,940,54700,0.86
University of Arizona,1,"Tucson, AZ",50500,1110,26200,0.49
Worcester State University,1,"Worcester, MA",44200,NA,24600,0.49
Fordham University,0,"Bronx, NY",49900,1260,68000,0.61
Central College,0,"Pella, IA",43300,1060,48500,0.81
McDaniel College,NA,"Westminster, MD",43000,NA,52200,0.75
Rider University,0,"Lawrenceville, NJ",44600,1040,55800,0.72
Dominican University,0,"River Forest, IL",42400,1070,42800,0.87
Berea College,0,"Berea, KY",33100,1130,34800,1
Yale University,0,"New Haven, CT",58800,1500,66600,0.5
University of Mississippi,1,"University, MS",41200,1090,23600,0.44
SUNY College at Brockport,1,"Brockport, NY",40900,1060,22500,0.56
West Chester University of Pennsylvania,1,"West Chester, PA",42400,1110,27000,0.32
California State University-Chico,1,"Chico, CA",48100,NA,23300,0.5
Bethel College-Indiana,0,"Mishawaka, IN",37000,1020,38200,0.71
Wayne State College,1,"Wayne, NE",37500,1230,16500,0.46
Dominican University of California,0,"San Rafael, CA",44100,1060,62400,0.7
University of South Florida-Main Campus,1,"Tampa, FL",43900,NA,21800,0.63
